epoch	coverage
1	30.1
2	34.8
3	37.2
4	38.1
5	38.6
6	38.7
7	39.0
8	39.0
9	39.0
10	39.0
11	39.0
12	39.0
13	39.0
14	39.0
15	39.0
16	39.0
17	39.0
18	39.0
19	39.0
20	39.0
21	39.0
22	39.1
23	39.1
24	39.1
25	39.1
26	39.3
27	39.3
28	39.3
29	39.3
30	39.3
31	39.3
32	39.3
33	39.3
34	39.3
35	39.3
36	39.3
37	39.3
38	39.3
39	39.3
40	39.4
41	39.4
42	39.4
43	39.4
44	39.4
45	39.4
46	39.4
47	39.4
48	39.4
49	39.4
50	39.4
51	39.4
52	39.4
53	39.4
54	39.4
55	39.4
56	39.4
57	39.4
58	39.4
59	39.4
60	39.4
61	39.4
62	39.4
63	39.4
64	39.4
65	39.4
66	39.4
67	39.4
68	39.4
69	39.4
70	39.4
71	40.2
72	40.2
73	41.3
74	41.3
75	41.7
76	41.7
77	41.7
78	41.7
79	41.7
80	41.7
81	41.9
82	41.9
83	41.9
84	41.9
85	41.9
86	41.9
87	42.0
88	42.0
89	43.0
90	43.2
91	43.3
92	43.3
93	43.3
94	43.3
95	43.3
96	43.3
97	43.3
98	43.3
99	43.3
