epoch	coverage
1	34.2
2	35.6
3	36.8
4	37.7
5	37.9
6	39.5
7	39.5
8	39.5
9	39.5
10	39.5
11	39.5
12	39.5
13	39.5
14	39.5
15	40.0
16	40.0
17	40.1
18	40.2
19	40.2
20	40.2
21	40.2
22	40.2
23	40.3
24	40.3
25	40.3
26	40.3
27	40.3
28	40.4
29	40.4
30	40.4
31	40.4
32	40.4
33	40.8
34	40.8
35	41.2
36	41.3
37	41.3
38	41.3
39	41.3
40	41.3
41	41.3
42	41.3
43	41.3
44	41.3
45	41.3
46	41.3
47	41.7
48	41.8
49	41.8
50	41.8
51	41.8
52	41.8
53	41.8
54	41.8
55	41.8
56	41.8
57	42.2
58	42.2
59	42.2
60	42.2
61	42.2
62	42.2
63	42.2
64	42.2
65	42.2
66	42.2
67	42.2
68	42.2
69	42.2
70	43.0
71	43.0
72	43.0
73	43.3
74	43.3
75	43.3
76	43.3
77	43.3
78	43.3
79	43.3
80	43.3
81	43.3
82	43.3
83	43.3
84	43.5
85	43.5
86	43.5
87	43.7
88	43.7
89	43.7
90	43.7
91	43.7
92	43.7
93	43.7
94	43.7
95	43.7
96	43.7
97	43.7
98	43.7
99	43.7
100	43.7
101	43.7
102	43.7
103	43.7
104	43.7
105	43.7
106	43.7
107	43.7
108	43.7
109	43.7
110	43.7
111	43.7
112	43.7
113	43.7
114	43.7
115	43.7
116	43.7
117	43.7
118	43.7
119	43.7
120	43.7
121	43.7
122	43.7
123	43.7
124	43.7
125	43.7
126	43.7
127	43.7
128	43.7
129	43.7
130	43.7
131	43.7
132	43.7
133	43.7
134	43.7
135	43.7
136	43.7
137	43.7
138	43.7
139	43.7
140	43.7
141	43.7
142	43.7
143	43.7
144	43.7
145	43.7
146	43.7
147	43.7
148	43.7
149	43.7
150	43.7
151	43.7
152	43.7
153	43.7
154	43.7
155	43.7
156	43.7
157	43.7
158	43.7
159	43.7
160	43.7
161	43.9
162	43.9
163	43.9
164	43.9
165	43.9
166	43.9
167	43.9
168	43.9
169	43.9
170	43.9
171	43.9
172	43.9
173	43.9
174	43.9
175	43.9
176	43.9
177	43.9
178	43.9
179	43.9
180	43.9
181	43.9
182	43.9
183	43.9
184	43.9
185	43.9
186	43.9
187	43.9
188	43.9
189	43.9
190	43.9
191	43.9
192	43.9
193	43.9
194	43.9
195	44.1
196	44.1
197	44.1
198	44.1
199	44.1
200	44.1
201	44.1
202	44.1
203	44.1
204	44.1
205	44.1
206	44.1
207	44.1
208	44.1
209	44.3
210	44.3
211	44.3
212	44.3
213	44.3
214	44.3
215	44.3
216	44.3
217	44.3
218	44.3
219	44.3
220	44.3
221	44.3
222	44.3
223	44.3
224	44.7
225	44.7
226	44.7
227	44.7
228	44.7
229	44.7
230	44.7
231	44.7
232	44.7
233	44.7
234	44.7
235	44.7
236	44.7
237	44.7
238	44.7
239	44.7
240	44.7
241	44.7
242	44.7
243	44.7
244	44.7
245	44.7
246	44.7
247	44.7
248	44.7
249	44.7
250	44.7
251	44.7
252	44.7
253	44.7
254	45.2
255	45.2
256	45.2
257	45.2
258	45.2
259	45.2
260	45.2
261	45.2
262	45.2
263	45.2
264	45.2
265	45.2
266	45.2
267	45.2
268	45.2
269	45.2
270	45.2
271	45.2
272	45.2
273	45.2
274	45.3
275	45.3
276	45.3
277	45.3
278	45.3
279	45.3
280	45.3
281	45.3
282	45.3
283	45.3
284	45.3
285	45.3
286	45.3
287	45.3
288	45.3
289	45.3
290	45.3
291	45.3
292	45.4
293	45.6
294	45.6
295	45.6
296	45.6
297	45.6
298	45.6
299	45.6
300	45.6
301	45.6
302	45.6
303	45.6
304	45.6
305	45.6
306	45.6
307	45.6
308	45.6
309	45.6
310	45.6
311	45.6
312	45.6
313	45.6
314	45.6
315	45.6
316	45.6
317	45.6
318	45.6
319	45.6
320	45.6
321	45.6
322	45.6
323	45.6
324	45.6
325	45.6
326	45.6
327	45.6
328	45.6
329	45.6
330	45.6
331	45.6
332	45.6
333	45.6
334	45.6
335	45.6
336	45.6
337	45.6
338	45.6
339	45.6
340	45.6
341	45.6
342	45.6
343	45.6
344	45.6
345	45.6
346	45.6
347	45.6
348	45.6
349	45.6
350	45.6
351	45.6
352	45.6
353	45.6
354	45.6
355	45.6
356	45.6
357	45.6
358	45.6
359	45.6
360	45.6
361	45.6
362	45.6
363	45.6
364	45.6
365	45.6
366	45.6
367	45.6
368	45.6
369	45.6
370	45.6
371	45.6
372	45.6
373	45.6
374	45.6
375	45.6
376	45.6
377	45.6
378	45.6
379	45.6
380	45.6
381	45.6
382	45.6
383	45.6
384	45.6
385	45.6
386	45.6
387	45.6
388	45.6
389	45.6
390	45.6
391	45.6
392	45.6
393	45.6
394	45.6
395	45.6
396	45.6
397	45.6
398	45.6
399	45.6
400	45.6
401	45.6
402	45.6
403	45.6
404	45.6
405	45.6
406	45.6
407	45.6
408	45.6
409	45.6
410	45.6
411	45.6
412	45.6
413	45.6
414	45.6
415	45.6
416	45.6
417	45.6
418	45.6
419	45.6
420	45.6
421	45.6
422	45.6
423	45.6
424	45.6
425	45.6
426	45.6
427	45.6
428	45.6
429	45.6
430	45.6
431	45.6
432	45.6
433	45.6
434	45.6
435	45.6
436	45.6
437	45.6
438	45.6
439	45.6
440	45.6
441	45.6
442	45.6
443	45.6
444	45.6
445	45.6
446	45.6
447	45.6
448	45.6
449	45.6
450	45.6
451	45.6
452	45.6
453	45.6
454	45.6
455	45.6
456	45.6
457	45.6
458	45.6
459	45.6
460	45.6
461	45.6
462	45.6
463	45.6
464	45.6
465	45.6
466	45.6
467	45.6
468	45.6
469	45.6
470	45.6
471	45.6
472	45.6
473	45.6
474	45.6
475	45.6
476	45.6
477	45.6
478	45.6
479	45.6
480	45.6
481	45.6
482	45.6
483	45.6
484	45.6
485	45.6
486	45.6
487	45.6
488	45.6
489	45.6
490	45.6
491	45.6
492	45.6
493	45.6
494	45.6
495	45.6
496	45.6
497	45.6
498	45.6
499	45.6
500	45.6
501	45.6
502	45.6
503	45.6
504	45.6
505	45.6
506	45.6
507	45.6
508	45.6
509	45.6
510	45.6
511	45.6
512	45.6
513	45.6
514	45.6
515	45.6
516	45.6
517	45.6
518	45.6
519	45.6
520	45.6
521	45.6
522	45.6
523	45.6
524	45.6
525	45.6
526	45.6
527	45.6
528	45.6
529	45.6
530	45.6
531	45.6
532	45.6
533	45.6
534	45.6
535	45.6
536	45.6
537	45.6
538	45.6
539	45.6
540	45.6
541	45.6
542	45.6
543	45.6
544	45.6
545	45.6
546	45.6
547	45.6
548	45.6
549	45.6
550	45.6
551	45.6
552	45.6
553	45.6
554	45.6
555	45.6
556	45.6
557	45.6
558	45.6
559	45.6
560	45.6
561	45.6
562	45.6
563	45.6
564	45.6
565	45.6
566	45.6
567	45.6
568	45.6
569	45.6
570	45.6
571	45.6
572	45.6
573	45.6
574	45.6
575	45.6
576	45.6
577	45.6
578	45.6
579	45.6
580	45.6
581	45.6
582	45.6
583	45.6
584	45.6
585	45.6
586	45.6
587	45.6
588	45.6
589	45.6
590	45.6
591	45.6
592	45.6
593	45.6
594	45.6
595	45.6
596	45.6
597	45.6
598	45.6
599	45.6
600	45.6
601	45.6
602	45.6
603	45.6
604	45.6
605	45.6
606	45.6
607	45.6
608	45.6
609	45.6
610	45.6
611	45.6
612	45.6
613	45.6
614	45.6
615	45.6
616	45.6
617	45.6
618	45.6
619	45.6
620	45.6
621	45.6
622	45.6
623	45.6
624	45.6
625	45.6
626	45.6
627	45.6
628	45.6
629	45.6
630	45.6
631	45.6
632	45.6
633	45.6
634	45.6
635	45.6
636	45.6
637	45.6
638	45.6
639	45.6
640	45.6
641	45.6
642	45.6
643	45.6
644	45.6
645	45.6
646	45.6
647	45.6
648	45.6
649	45.6
650	45.6
651	45.6
652	45.6
653	45.6
654	45.6
655	45.6
656	45.6
657	45.6
658	45.6
659	45.6
660	45.6
661	45.6
662	45.6
663	45.6
664	45.6
665	45.6
666	45.6
667	45.6
668	45.6
669	45.6
670	45.6
671	45.6
672	45.6
673	45.6
674	45.6
675	45.6
676	45.6
677	45.6
678	45.6
679	45.6
680	45.6
681	45.6
682	45.6
683	45.6
684	45.6
685	45.6
686	45.6
687	45.6
688	45.6
689	45.6
690	45.6
691	45.6
692	45.6
693	45.6
694	45.6
695	45.6
696	45.6
697	45.6
698	45.6
699	45.6
700	45.6
701	45.6
702	45.6
703	45.6
704	45.6
705	45.6
706	45.6
707	45.6
708	45.6
709	45.6
710	45.6
711	45.6
712	45.6
713	45.6
714	45.6
715	45.6
716	45.6
717	45.6
718	45.6
719	45.6
720	45.6
721	45.6
722	45.6
723	45.6
724	45.6
725	45.6
726	45.6
727	45.6
728	45.6
729	45.6
730	45.6
731	45.6
732	45.6
733	45.6
734	45.6
735	45.6
736	45.6
737	45.6
738	45.6
739	45.6
740	45.6
741	45.6
742	45.6
743	45.6
744	45.6
745	45.6
746	45.6
747	45.6
748	45.6
749	45.6
750	45.6
751	45.6
752	45.6
753	45.6
754	45.6
755	45.6
756	45.6
757	45.6
758	45.6
759	45.6
760	45.6
761	45.6
762	45.6
763	45.6
764	45.6
765	45.6
766	45.6
767	45.6
768	45.6
769	45.6
770	45.6
771	45.6
772	45.6
773	45.6
774	45.6
775	45.6
776	45.6
777	45.6
778	45.6
779	45.6
780	45.6
781	45.6
782	45.6
783	45.6
784	45.6
785	45.6
786	45.6
787	45.6
788	45.6
789	45.6
790	45.6
791	45.6
792	45.6
793	45.6
794	45.6
795	45.6
796	45.6
797	45.6
798	45.6
799	45.6
